fault_id,instruction_class,target,bit_index,fault_mask,inject_cycle,duration,observed,latency,comparator_detected,watchdog_seen,mismatch_field
0,IMM,ALU_RESULT,8,00000000,9,1,1,0,1,0,0101000
1,IMM,ALU_RESULT,16,00000000,2,4,1,0,1,0,1000000
2,IMM,ALU_RESULT,1,00000000,2,3,1,0,1,0,1000000
3,IMM,RS_DATA,23,00000000,9,4,1,0,1,0,0101000
4,IMM,RS_DATA,24,00000000,23,5,1,0,1,1,0101000
5,IMM,RS_DATA,12,00000000,8,2,1,0,1,0,0101000
6,IMM,RT_DATA,7,00000000,23,1,1,0,1,0,1101000
7,IMM,RT_DATA,31,00000000,20,3,1,0,1,0,1000000
8,IMM,RT_DATA,12,00000000,8,4,1,0,1,0,1000000
9,IMM,REG_WRITE,0,00000000,7,1,1,0,1,0,0000010
10,IMM,REG_WRITE,0,00000000,2,1,1,0,1,0,1101010
11,IMM,REG_WRITE,0,00000000,9,2,1,0,1,0,0000010
12,IMM,MEM_WRITE,0,00000000,9,5,1,0,1,0,0010000
13,IMM,MEM_WRITE,0,00000000,7,2,1,0,1,0,0010000
14,IMM,MEM_WRITE,0,00000000,2,1,1,0,1,0,0010000
15,IMM,PC_NEXT,22,00000000,2,3,1,0,1,0,0000000
16,IMM,PC_NEXT,10,00000000,2,3,1,0,1,0,0000000
17,IMM,PC_NEXT,18,00000000,8,3,1,0,1,0,0000000
18,IMM,WB_DATA,3,00000000,8,5,1,0,1,0,0001000
19,IMM,WB_DATA,20,00000000,20,3,1,0,1,0,0001000
20,IMM,WB_DATA,8,00000000,17,5,1,0,1,0,0001000
21,IMM,PC_HOLD,0,00000000,20,5,1,0,1,1,0101111
22,IMM,PC_HOLD,0,00000000,20,2,1,0,1,0,0101111
23,IMM,PC_HOLD,0,00000000,9,1,1,0,1,0,1111111
24,IMM,ALU_SRC_IMM,0,00000000,2,4,1,0,1,0,1101000
25,IMM,ALU_SRC_IMM,0,00000000,17,1,1,0,1,0,0101000
26,IMM,ALU_SRC_IMM,0,00000000,9,2,1,0,1,0,0101000
27,IMM,REG_DST,0,00000000,9,5,1,0,1,0,0000100
28,IMM,REG_DST,0,00000000,23,4,1,0,1,1,0101100
29,IMM,REG_DST,0,00000000,17,5,1,0,1,0,0000100
30,IMM,MEM_TO_REG,0,00000000,20,5,1,0,1,1,0001000
31,IMM,MEM_TO_REG,0,00000000,7,2,1,0,1,0,0001000
32,IMM,MEM_TO_REG,0,00000000,2,1,1,0,1,0,1101000
33,IMM,BRANCH_EQ,0,00000000,20,1,0,-1,0,0,0000000
34,IMM,BRANCH_EQ,0,00000000,8,3,0,-1,0,0,0000000
35,IMM,BRANCH_EQ,0,00000000,2,4,1,2,1,0,0000001
36,IMM,BRANCH_NE,0,00000000,9,2,1,0,1,0,1010101
37,IMM,BRANCH_NE,0,00000000,23,2,1,0,1,1,1101111
38,IMM,BRANCH_NE,0,00000000,9,3,1,0,1,0,1010101
39,IMM,JUMP,0,00000000,2,4,1,0,1,0,1111111
40,IMM,JUMP,0,00000000,9,3,1,0,1,0,1010101
41,IMM,JUMP,0,00000000,8,4,1,0,1,0,0101101
42,IMM,ALU_CTRL,2,00000000,2,4,1,0,1,0,1101000
43,IMM,ALU_CTRL,2,00000000,2,4,1,0,1,0,1101000
44,IMM,ALU_CTRL,1,00000000,7,2,1,0,1,0,0101000
45,ALU,ALU_RESULT,2,00000000,26,4,1,0,1,1,0101000
46,ALU,ALU_RESULT,2,00000000,4,2,1,0,1,0,0101000
47,ALU,ALU_RESULT,20,00000000,4,5,1,0,1,0,0101000
48,ALU,RS_DATA,14,00000000,5,4,1,0,1,0,0101000
49,ALU,RS_DATA,14,00000000,6,3,1,0,1,0,0000000
50,ALU,RS_DATA,11,00000000,4,3,1,0,1,0,0000000
51,ALU,RT_DATA,20,00000000,15,3,1,0,1,0,1000000
52,ALU,RT_DATA,26,00000000,6,3,1,0,1,0,1000000
53,ALU,RT_DATA,9,00000000,26,3,1,0,1,1,1101001
54,ALU,REG_WRITE,0,00000000,5,4,1,0,1,0,0000010
55,ALU,REG_WRITE,0,00000000,6,2,1,0,1,0,0101010
56,ALU,REG_WRITE,0,00000000,3,5,1,0,1,0,0000010
57,ALU,MEM_WRITE,0,00000000,3,4,1,0,1,0,0010000
58,ALU,MEM_WRITE,0,00000000,5,4,1,0,1,0,0010000
59,ALU,MEM_WRITE,0,00000000,15,1,1,0,1,0,0010000
60,ALU,PC_NEXT,29,00000000,4,1,1,0,1,0,0000000
61,ALU,PC_NEXT,6,00000000,26,2,1,0,1,1,1111101
62,ALU,PC_NEXT,27,00000000,26,4,1,0,1,1,0000000
63,ALU,WB_DATA,16,00000000,3,5,1,0,1,0,0001000
64,ALU,WB_DATA,11,00000000,15,4,1,0,1,0,0100000
65,ALU,WB_DATA,2,00000000,6,2,1,0,1,0,0001000
66,ALU,PC_HOLD,0,00000000,3,1,1,0,1,0,1101101
67,ALU,PC_HOLD,0,00000000,6,3,1,0,1,0,1101101
68,ALU,PC_HOLD,0,00000000,6,1,1,0,1,0,1101101
69,ALU,ALU_SRC_IMM,0,00000000,15,3,1,0,1,0,0101000
70,ALU,ALU_SRC_IMM,0,00000000,3,4,1,0,1,0,0101000
71,ALU,ALU_SRC_IMM,0,00000000,4,2,1,0,1,0,0101000
72,ALU,REG_DST,0,00000000,26,4,1,0,1,1,0000100
73,ALU,REG_DST,0,00000000,26,5,1,0,1,1,0000100
74,ALU,REG_DST,0,00000000,3,2,1,0,1,0,0101100
75,ALU,MEM_TO_REG,0,00000000,6,4,1,0,1,0,0101000
76,ALU,MEM_TO_REG,0,00000000,26,3,0,-1,0,1,0000000
77,ALU,MEM_TO_REG,0,00000000,5,4,1,0,1,0,0001000
78,ALU,BRANCH_EQ,0,00000000,26,4,1,0,1,1,0000001
79,ALU,BRANCH_EQ,0,00000000,15,4,0,-1,0,0,0000000
80,ALU,BRANCH_EQ,0,00000000,5,3,1,0,1,0,1101111
81,ALU,BRANCH_NE,0,00000000,15,3,1,0,1,0,1101101
82,ALU,BRANCH_NE,0,00000000,4,3,1,0,1,0,1000111
83,ALU,BRANCH_NE,0,00000000,4,4,1,0,1,0,1000111
84,ALU,JUMP,0,00000000,3,5,1,0,1,0,1101111
85,ALU,JUMP,0,00000000,3,1,1,0,1,0,1101111
86,ALU,JUMP,0,00000000,26,2,1,0,1,1,0000001
87,ALU,ALU_CTRL,2,00000000,4,2,1,0,1,0,0000000
88,ALU,ALU_CTRL,1,00000000,5,4,1,0,1,0,0101000
89,ALU,ALU_CTRL,3,00000000,4,2,1,0,1,0,0000000
90,MEM,ALU_RESULT,14,00000000,13,2,1,0,1,0,0100000
91,MEM,ALU_RESULT,18,00000000,14,2,1,0,1,0,0101000
92,MEM,ALU_RESULT,3,00000000,24,2,1,0,1,1,0101000
93,MEM,RS_DATA,28,00000000,25,3,1,0,1,1,0101001
94,MEM,RS_DATA,12,00000000,14,5,1,0,1,0,0101000
95,MEM,RS_DATA,28,00000000,25,5,1,0,1,1,0101001
96,MEM,RT_DATA,11,00000000,24,4,1,0,1,1,1101001
97,MEM,RT_DATA,31,00000000,11,3,1,0,1,0,1000000
98,MEM,RT_DATA,11,00000000,14,4,1,0,1,0,1101000
99,MEM,REG_WRITE,0,00000000,13,5,1,0,1,0,0000010
100,MEM,REG_WRITE,0,00000000,24,2,1,0,1,1,0000010
101,MEM,REG_WRITE,0,00000000,24,3,1,0,1,1,0000010
102,MEM,MEM_WRITE,0,00000000,10,3,1,0,1,0,0010000
103,MEM,MEM_WRITE,0,00000000,25,4,1,0,1,1,0010000
104,MEM,MEM_WRITE,0,00000000,11,2,1,0,1,0,0010000
105,MEM,PC_NEXT,24,00000000,14,2,1,0,1,0,0000000
106,MEM,PC_NEXT,25,00000000,24,3,1,0,1,1,0000000
107,MEM,PC_NEXT,20,00000000,10,2,1,0,1,0,0000000
108,MEM,WB_DATA,16,00000000,10,5,1,0,1,0,0001000
109,MEM,WB_DATA,29,00000000,13,2,1,0,1,0,0001000
110,MEM,WB_DATA,3,00000000,10,5,1,0,1,0,0001000
111,MEM,PC_HOLD,0,00000000,14,1,1,0,1,0,0101101
112,MEM,PC_HOLD,0,00000000,11,3,1,0,1,0,1101101
113,MEM,PC_HOLD,0,00000000,10,4,1,0,1,1,1101101
114,MEM,ALU_SRC_IMM,0,00000000,12,3,1,0,1,0,0000000
115,MEM,ALU_SRC_IMM,0,00000000,12,1,1,0,1,0,0000000
116,MEM,ALU_SRC_IMM,0,00000000,13,2,1,0,1,0,0101000
117,MEM,REG_DST,0,00000000,14,4,1,0,1,0,1101100
118,MEM,REG_DST,0,00000000,25,3,1,0,1,1,0000100
119,MEM,REG_DST,0,00000000,24,1,1,0,1,1,0000100
120,MEM,MEM_TO_REG,0,00000000,10,4,1,0,1,0,0001000
121,MEM,MEM_TO_REG,0,00000000,12,3,1,0,1,0,0001000
122,MEM,MEM_TO_REG,0,00000000,10,2,1,0,1,0,0001000
123,MEM,BRANCH_EQ,0,00000000,12,4,0,-1,0,0,0000000
124,MEM,BRANCH_EQ,0,00000000,13,3,0,-1,0,0,0000000
125,MEM,BRANCH_EQ,0,00000000,25,5,1,0,1,1,0000001
126,MEM,BRANCH_NE,0,00000000,10,4,1,0,1,0,0000001
127,MEM,BRANCH_NE,0,00000000,12,3,1,0,1,0,0001111
128,MEM,BRANCH_NE,0,00000000,12,1,1,0,1,0,0001111
129,MEM,JUMP,0,00000000,25,5,1,0,1,1,0000001
130,MEM,JUMP,0,00000000,14,2,1,0,1,0,1101101
131,MEM,JUMP,0,00000000,14,5,1,0,1,0,1101101
132,MEM,ALU_CTRL,3,00000000,10,2,1,0,1,0,0101000
133,MEM,ALU_CTRL,1,00000000,11,2,1,0,1,0,0101000
134,MEM,ALU_CTRL,3,00000000,11,5,1,0,1,0,0101000
135,BRANCH,ALU_RESULT,20,00000000,18,1,1,0,1,0,0101000
136,BRANCH,ALU_RESULT,12,00000000,18,5,1,0,1,0,0101000
137,BRANCH,ALU_RESULT,19,00000000,18,2,1,0,1,0,0101000
138,BRANCH,RS_DATA,18,00000000,18,4,1,0,1,0,0101000
139,BRANCH,RS_DATA,14,00000000,18,3,1,0,1,0,0101000
140,BRANCH,RS_DATA,28,00000000,16,2,1,0,1,0,0101000
141,BRANCH,RT_DATA,28,00000000,18,2,1,0,1,0,1000000
142,BRANCH,RT_DATA,16,00000000,16,3,1,0,1,0,1000000
143,BRANCH,RT_DATA,7,00000000,18,1,1,0,1,0,1000000
144,BRANCH,REG_WRITE,0,00000000,18,3,1,0,1,0,0000010
145,BRANCH,REG_WRITE,0,00000000,16,1,1,0,1,0,0000010
146,BRANCH,REG_WRITE,0,00000000,18,1,1,0,1,0,0000010
147,BRANCH,MEM_WRITE,0,00000000,16,4,1,0,1,0,0010000
148,BRANCH,MEM_WRITE,0,00000000,16,5,1,0,1,0,0010000
149,BRANCH,MEM_WRITE,0,00000000,16,4,1,0,1,0,0010000
150,BRANCH,PC_NEXT,9,00000000,16,3,1,0,1,0,0101110
151,BRANCH,PC_NEXT,24,00000000,16,1,1,0,1,0,0000000
152,BRANCH,PC_NEXT,17,00000000,18,5,1,0,1,0,0000000
153,BRANCH,WB_DATA,9,00000000,18,3,1,0,1,0,0001000
154,BRANCH,WB_DATA,21,00000000,16,5,1,0,1,0,0001000
155,BRANCH,WB_DATA,5,00000000,18,4,1,0,1,0,0001000
156,BRANCH,PC_HOLD,0,00000000,18,2,1,0,1,0,1101111
157,BRANCH,PC_HOLD,0,00000000,18,3,1,0,1,0,1101111
158,BRANCH,PC_HOLD,0,00000000,18,4,1,0,1,1,1101111
159,BRANCH,ALU_SRC_IMM,0,00000000,16,4,1,0,1,0,0101000
160,BRANCH,ALU_SRC_IMM,0,00000000,16,5,1,0,1,0,0101000
161,BRANCH,ALU_SRC_IMM,0,00000000,16,2,1,0,1,0,0101000
162,BRANCH,REG_DST,0,00000000,16,3,1,0,1,0,0000100
163,BRANCH,REG_DST,0,00000000,16,1,1,0,1,0,0000100
164,BRANCH,REG_DST,0,00000000,16,1,1,0,1,0,0000100
165,BRANCH,MEM_TO_REG,0,00000000,18,1,1,0,1,0,0001000
166,BRANCH,MEM_TO_REG,0,00000000,18,4,1,0,1,0,0001000
167,BRANCH,MEM_TO_REG,0,00000000,16,2,1,0,1,0,0001000
168,BRANCH,BRANCH_EQ,0,00000000,18,1,0,-1,0,0,0000000
169,BRANCH,BRANCH_EQ,0,00000000,18,3,0,-1,0,0,0000000
170,BRANCH,BRANCH_EQ,0,00000000,16,3,0,-1,0,0,0000000
171,BRANCH,BRANCH_NE,0,00000000,18,1,1,0,1,0,0101101
172,BRANCH,BRANCH_NE,0,00000000,18,5,1,0,1,0,0101101
173,BRANCH,BRANCH_NE,0,00000000,18,5,1,0,1,0,0101101
174,BRANCH,JUMP,0,00000000,18,1,1,0,1,0,1101101
175,BRANCH,JUMP,0,00000000,16,3,1,0,1,0,1101101
176,BRANCH,JUMP,0,00000000,18,5,1,0,1,0,1101101
177,BRANCH,ALU_CTRL,3,00000000,18,4,1,0,1,0,0101101
178,BRANCH,ALU_CTRL,2,00000000,16,1,1,0,1,0,1101111
179,BRANCH,ALU_CTRL,3,00000000,18,1,1,0,1,0,0101101
180,JUMP,ALU_RESULT,12,00000000,21,1,1,0,1,0,0101000
181,JUMP,ALU_RESULT,19,00000000,21,4,1,0,1,1,0101000
182,JUMP,ALU_RESULT,2,00000000,21,4,1,0,1,1,0101000
183,JUMP,RS_DATA,1,00000000,21,1,1,0,1,0,0101000
184,JUMP,RS_DATA,21,00000000,21,3,1,0,1,0,0101000
185,JUMP,RS_DATA,6,00000000,21,4,1,0,1,1,0101000
186,JUMP,RT_DATA,29,00000000,21,5,1,0,1,1,1000000
187,JUMP,RT_DATA,27,00000000,21,1,1,0,1,0,1000000
188,JUMP,RT_DATA,0,00000000,21,2,1,0,1,0,1000000
189,JUMP,REG_WRITE,0,00000000,21,1,1,0,1,0,0000010
190,JUMP,REG_WRITE,0,00000000,21,4,1,0,1,1,0000010
191,JUMP,REG_WRITE,0,00000000,21,5,1,0,1,1,0000010
192,JUMP,MEM_WRITE,0,00000000,21,5,1,0,1,1,0010000
193,JUMP,MEM_WRITE,0,00000000,21,4,1,0,1,1,0010000
194,JUMP,MEM_WRITE,0,00000000,21,1,1,0,1,0,0010000
195,JUMP,PC_NEXT,6,00000000,21,4,1,0,1,1,1010110
196,JUMP,PC_NEXT,20,00000000,21,3,1,0,1,0,0000000
197,JUMP,PC_NEXT,25,00000000,21,2,1,0,1,0,0000000
198,JUMP,WB_DATA,27,00000000,21,2,1,0,1,0,0001000
199,JUMP,WB_DATA,8,00000000,21,1,1,0,1,0,0001000
200,JUMP,WB_DATA,23,00000000,21,5,1,0,1,1,0001000
201,JUMP,PC_HOLD,0,00000000,21,5,1,0,1,1,1111111
202,JUMP,PC_HOLD,0,00000000,21,3,1,0,1,0,1111111
203,JUMP,PC_HOLD,0,00000000,21,4,1,0,1,1,1111111
204,JUMP,ALU_SRC_IMM,0,00000000,21,5,1,0,1,1,0101000
205,JUMP,ALU_SRC_IMM,0,00000000,21,4,1,0,1,1,0101000
206,JUMP,ALU_SRC_IMM,0,00000000,21,3,1,0,1,0,0101000
207,JUMP,REG_DST,0,00000000,21,5,1,0,1,1,0000100
208,JUMP,REG_DST,0,00000000,21,2,1,0,1,0,0000100
209,JUMP,REG_DST,0,00000000,21,5,1,0,1,1,0000100
210,JUMP,MEM_TO_REG,0,00000000,21,2,1,0,1,0,0001000
211,JUMP,MEM_TO_REG,0,00000000,21,1,1,0,1,0,0001000
212,JUMP,MEM_TO_REG,0,00000000,21,2,1,0,1,0,0001000
213,JUMP,BRANCH_EQ,0,00000000,21,1,0,-1,0,0,0000000
214,JUMP,BRANCH_EQ,0,00000000,21,5,1,3,1,1,0000001
215,JUMP,BRANCH_EQ,0,00000000,21,3,0,-1,0,0,0000000
216,JUMP,BRANCH_NE,0,00000000,21,5,1,0,1,1,1111101
217,JUMP,BRANCH_NE,0,00000000,21,1,1,0,1,0,1111101
218,JUMP,BRANCH_NE,0,00000000,21,3,1,0,1,0,1111101
219,JUMP,JUMP,0,00000000,21,5,1,0,1,1,1010111
220,JUMP,JUMP,0,00000000,21,2,1,0,1,0,1010111
221,JUMP,JUMP,0,00000000,21,3,1,0,1,0,1010111
222,JUMP,ALU_CTRL,2,00000000,21,3,1,0,1,0,0101000
223,JUMP,ALU_CTRL,0,00000000,21,4,1,0,1,1,0101000
224,JUMP,ALU_CTRL,2,00000000,21,3,1,0,1,0,0101000
